,Day,Date,Description,Temparature(Fareinheit)
0,Sat,Aug 22,A few tstorms. Broken clouds,91 / 81°F
1,Sun,Aug 23,Thunderstorms. Mostly cloudy,90 / 82°F
2,Mon,Aug 24,Light showers. Broken clouds,91 / 82°F
3,Tue,Aug 25,Isolated tstorms late. Mostly cloudy,93 / 82°F
4,Wed,Aug 26,Tstorms early. Mostly cloudy,90 / 82°F
5,Thu,Aug 27,Light showers. Mostly cloudy,85 / 80°F
6,Fri,Aug 28,Light showers. Overcast,90 / 82°F
7,Sat,Aug 29,Light showers. Overcast,91 / 83°F
8,Sun,Aug 30,Showers late. Overcast,89 / 84°F
9,Mon,Aug 31,Thunderstorms. Overcast,89 / 84°F
10,Tue,Sep 1,Thundershowers. Overcast,92 / 84°F
11,Wed,Sep 2,Thunderstorms. Overcast,91 / 84°F
12,Thu,Sep 3,Thunderstorms. Overcast,91 / 84°F
13,Fri,Sep 4,Light showers. Morning clouds,94 / 85°F
14,Sat,Sep 5,Thundershowers. Overcast,94 / 86°F
